term	search	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm	hprec_strict	hrecall_strict	hf1_strict	hprec_soft	hrecall_soft	hf1_soft
boolean	search_basic	False	True	jaccard	3,3,4,1	0.2601	0.2069	0.1799	0.1114	0.2156	0.2247	0.6553	0.4606	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	jaccard	1,1,1,4	0.2882	0.2788	0.2211	0.1121	0.2627	0.2584	0.6604	0.4714	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	overlap	1,1,1,1	0.4406	0.2536	0.2147	0.1234	0.3030	0.3194	0.7045	0.5371	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	overlap	3,3,4,1	0.4250	0.2292	0.2042	0.1222	0.2862	0.2952	0.6967	0.5259	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	overlap	1,1,1,4	0.4185	0.2516	0.2184	0.1241	0.2962	0.3080	0.7035	0.5303	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	cosine	1,1,1,1	0.2486	0.2101	0.1501	0.1181	0.2029	0.2220	0.6340	0.4535	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	cosine	3,3,4,1	0.2799	0.1979	0.1452	0.1192	0.2076	0.2363	0.6295	0.4609	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	cosine	1,1,1,4	0.2637	0.1791	0.1533	0.1164	0.1987	0.2145	0.6281	0.4450	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	dice	1,1,1,1	0.2547	0.2298	0.1652	0.1034	0.2166	0.2197	0.5597	0.3947	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	dice	3,3,4,1	0.1999	0.1688	0.1326	0.1037	0.1671	0.1848	0.5614	0.3837	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	dice	1,1,1,4	0.2540	0.2223	0.1686	0.1034	0.2150	0.2180	0.5596	0.3922	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	jaccard	1,1,1,1	0.2547	0.2298	0.1652	0.1034	0.2166	0.2197	0.5597	0.3947	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	jaccard	3,3,4,1	0.1999	0.1688	0.1326	0.1037	0.1671	0.1848	0.5614	0.3837	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	jaccard	1,1,1,4	0.2540	0.2223	0.1686	0.1034	0.2150	0.2180	0.5596	0.3922	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
